"Reference","Value","Qty","NextPCB_price","NextPCB_url","Datasheet"
"D1,D2,D3,D4,D5,D6,D7,D8,D17,D18,D19,D20,D21,D22,D23,D24","KPTD-3216ZGC ","16","0.39735","https://www.hqonline.com/product-detail/kingbright-kptd-3216zgc-1007375095","https://www.kingbright.com/content/listitem/psearch/170"
"D9,D10,D11,D12,D13,D14,D15,D16,D25,D26,D27,D28,D29,D30,D31,D32","1N4148W","16","0.00811","https://www.hqonline.com/product-detail/switching-diodes--small-signal--st-xianke--1n4148w-2500240525","~"
"J1,J2","Conn_02x08_Odd_Even","2","0.27407","https://www.hqonline.com/product-detail/pin-headers-hctl-pz254-2-08-ws-1029967027","~"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16","1.1k 1W","16","0.01655","https://www.hqonline.com/product-detail/chip-resistors-fojan-frc2512f1101ts-2500371841","https://www.hqonline.com/product-detail/chip-resistors-fojan-frc2512f1101ts-2500371841"
