"reference","quantity","part_ipn","note","optional"
"C1","1","C_4.7nF_2kV_1812","Unpolarized capacitor",""
"C2,C3,C4,C5","4","C_22uF_50V_2220","Unpolarized capacitor",""
"J2","1","PinHeader_01x05_P2.54_THT_angle","Generic connector, single row, 01x05, script generated",""
"J3","1","2EDGR-5.08-10P","01x10",""
"J4","1","K7805-2000R3","K7805-2000R3",""
"J5","1","K7803-2000R3","K7803-2000R3",""
"U1","1","IRM-20-24","","1"
"U2,U3,U4","3","64900001039","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V","-- смешанные значения --"
