part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
15EDGKC-3.5-08P,1,0.000,0.000,0.000,0.000
15EDGRC-3.5-08P,1,0.000,0.000,0.000,0.000
G5NB-1A-E-DC5,4,0.323,0.323,1.291,1.291
Итого,0,0.000,0.000,1.291,1.291
