part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
AFA07-S12FCC-00,2,0.080,0.103,0.160,0.205
AFA11-S12GLA-00,2,0.000,0.000,0.000,0.000
CA-IS3980P,2,1.562,2.679,3.124,5.358
FFC_12P_P1.0_100mm_straight,2,0.039,0.089,0.077,0.178
MCP23017-E/SS,1,1.110,2.891,1.110,2.891
Итого,0,0.000,0.000,4.471,8.633
