part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
AFA07-S12FCC-00,4,0.080,0.103,0.321,0.410
AFA11-S12GLA-00,4,0.000,0.000,0.000,0.000
CA-IS3980P,4,1.562,2.679,6.247,10.717
FFC_12P_P1.0_100mm_straight,4,0.039,0.089,0.154,0.356
MCP23017-E/SS,2,1.110,2.891,2.220,5.783
Итого,0,0.000,0.000,8.942,17.265
