"reference","quantity","part_ipn","note","Datasheet","optional"
"C7","1","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/part/221",""
"D1,D2,D3,D4,D5,D6,D7,D8","8","XL-1608SYGC-06","Green","http://inventree.network/web/part/359/details",""
"J1","1","AFA07-S06FCC-00","","http://inventree.network/web/part/362/details",""
"RN1,RN2","2","R_330R_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/part/239/",""
"SW0.0,SW0.1,SW0.2,SW0.3,SW0.4,SW0.5,SW1.0,SW1.1,SW1.2,SW1.3,SW1.4,SW1.5","12","TS-1187A-B-A-B","","http://inventree.network/web/part/178/details","1"
"U1","1","MCP23017-E/SS","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28","http://inventree.network/web/part/334/details",""
