"reference","quantity","part_ipn","note"
"C1","1","C_68nF_500V_1210","Unpolarized capacitor"
"D1,D2,D3,D4","4","1N4007","1A Independent Type 1kV 1.1V@1A SMA(DO-214AC) Diodes"
"D5,D6,D7,D8","4","LED_green_1206_reverse","Light emitting diode"
"J1","1","PinHeader_02x04_P2.54_THT_angle","Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"R1","1","R_680k_1206_1%","Resistor"
"R2","1","R_100_1206_1%","Resistor"
"R3","1","R_4k7_1206_1%","Resistor"
"R4","1","R_620R_1206_1%","Resistor"
"R5","1","R_270_1206_1%","Resistor"
