"reference","note","quantity","part_ipn"
"J1","Generic connector, single row, 01x08, script generated","1","FemaleHeader P2.54 01x08 THT Angle"
"J2","Generic connector, single row, 01x08, script generated","1","FemaleHeader P2.54 01x08 THT Straight"
"J4","Generic connector, single row, 01x08, script generated","1","PinHeader P2.54 01x08 THT Angle"
