"reference","quantity","optional","part_ipn","note"
"J1","1","","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated"
"J2","1","","FFC_10P_P1.0_100mm_straight",""
"SW0.0,SW0.1,SW0.2,SW0.3,SW0.4,SW0.5,SW0.6,SW0.7,SW1.0,SW1.1,SW1.2,SW1.3,SW1.4,SW1.5,SW1.6,SW1.7,SW2.0,SW2.1,SW2.2,SW2.3,SW2.4,SW2.5,SW2.6,SW2.7,SW3.0,SW3.1,SW3.2,SW3.3,SW3.4,SW3.5,SW3.6,SW3.7,SW4.0,SW4.1,SW4.2,SW4.3,SW4.4,SW4.5,SW4.6,SW4.7,SW5.0,SW5.1,SW5.2,SW5.3,SW5.4,SW5.5,SW5.6,SW5.7,SW6.0,SW6.1,SW6.2,SW6.3,SW6.4,SW6.5,SW6.6,SW6.7,SW7.0,SW7.1,SW7.2,SW7.3,SW7.4,SW7.5,SW7.6,SW7.7","64","1","TS-1187A-B-A-B",""
"U1","1","","MCP23S17-E/SO","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28"
"U2","1","","PM-ESP32C3_v0.0.2",""
