"reference","quantity","part_ipn","note","Datasheet","optional"
"J1,J3","2","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated","",""
"RN1,RN2,RN3,RN4","4","R_680R_0603x4_1%","4 resistor network, parallel topology, split","",""
