"reference","quantity","part_ipn","note"
"D1,D2,D3,D4,D5,D6,D7,D8","8","12-21/GHC-YR2S2/2C ","Standard LEDs - SMD Green Water Clear Right Angle"
"J1,J2,J3,J4","4","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated"
"R1,R2,R3,R4,R5,R6,R7,R8","8","R_680R_1206_1%","Resistor"
