"reference","note","quantity","part_ipn"
"D1,D2,D3,D4,D5,D6,D7,D8,D17,D18,D19,D20,D21,D22,D23,D24","Light emitting diode","16","KPT-3216CGCK"
"D9,D10,D11,D12,D13,D14,D15,D16,D25,D26,D27,D28,D29,D30,D31,D32","Diode","16","1N4148W"
"J1","Generic connector, double row, 02x16, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","1","PinHeader P2.54 02x16 SMD Straight"
"PCB1","","1","PM-DI16-front-DC24_v0.0.3"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16","Resistor","16","R_2k2_2512_1%"
