"reference","quantity","part_ipn","note","optional"
"J1,J2","2","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"J3","1","PinHeader_01x14_P2.54_SMD_straight","Generic connector, single row, 01x14, script generated",""
"J4,J5","2","Shunt 2.54 Open Top","",""
