part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
15EDGRC-3.5-08P,1,0.000,0.000,0.000,0.000
15EDGKC-3.5-08P,1,0.000,0.000,0.000,0.000
Итого,0,0.000,0.000,0.000,0.000
