Reference,Value,Footprint,Qty,NextPCB_price,NextPCB_url
"D1,D2,D3,D4,D5,D6,D7,D8",1N4148W,Diode_SMD:D_SOD-123,8,0.00811,https://www.hqonline.com/product-detail/switching-diodes--small-signal--st-xianke--1n4148w-2500240525
"J3,J4",Conn_02x08_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical_SMD,2,,
"R1,R2,R3,R4,R5,R6,R7,R8",10k 0.25W,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,8,0.00233,https://www.hqonline.com/product-detail/chip-resistors-yageo-rc1206fr-0710kl-2500015735
"U1,U2,U3,U4,U5,U6,U7,U8",PC817,Package_SO:SOP-4_3.8x4.1mm_P2.54mm,8,0.03334,https://www.hqonline.com/product-detail/photocouplers-slkor-pc817c-2500382115
