"reference","quantity","part_ipn","note","optional"
"J1","1","AFA07-S12FCC-00","Generic connector, single row, 01x10, script generated",""
"J3","1","PinHeader_02x13_P2.54_THT_straight","Generic connector, double row, 02x13, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
