"reference","note","quantity","part_ipn"
"J1","Generic connector, single row, 01x05, script generated","1","PinHeader_01x05_P2.54_THT_angle"
"J2","Generic connector, single row, 01x05, script generated","1","FemaleHeader_01x05_P2.54_THT_straight"
"J3","Generic connector, single row, 01x05, script generated","1","FemaleHeader_01x05_P2.54_THT_angle"
