part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
15EDGRC-3.5-08P,2,0.000,0.000,0.000,0.000
AFA11-S12GLA-00,2,0.000,0.000,0.000,0.000
FFC_12P_P1.0_50mm_straight,2,0.000,0.000,0.000,0.000
TBD62783AFG,2,0.802,0.890,1.604,1.779
Итого,0,0.000,0.000,1.604,1.779
