"reference","note","quantity","part_ipn"
"C1","Unpolarized capacitor","1","C_4.7nF_2kV_1812"
"J1","Generic connector, single row, 01x05, script generated","1","PinHeader_01x05_P2.54_THT_angle"
"J3","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","1","FemaleHeader_02x20_P2.54_SMD_straight"
"J7","Generic connector, single row, 01x02, script generated","1","2EDGK-5.08-02P"
"J8","Generic connector, single row, 01x02, script generated","1","2EDGR-5.08-02P"
"R1,R2","Resistor","2","R_3k3_1206_1%"
