"reference","note","quantity","part_ipn"
"D1,D2,D3","Light emitting diode","3","LED_green_1206_reverse"
"J2","Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","1","PinHeader_02x04_P2.54_THT_angle"
"R1,R2,R3","Resistor","3","R_10k_1206_1%"
